hardware_model,manufacturer,serial_numbers,cruise_beg_date,transmit_frequency,bin_length,transmit_pulse_length,blanking_interval,bandwidth,transducer_config,depth_range,num_bins,ens_avg_intvl,chief_scientist,personnel_charge
,RDI,,1993-02-22,,8 m,16 m,4 m,,JANUS CONCAVE,21 - 493 m,60,300 s,Lynne Talley,"C.Huhta,K.Donahue,Mei Zhou,Eric Firing"
,RDI,,1986-01-12,153 KHz,8 m,8 m,2 m,,JANUS CONCAVE,14 to 502 m,62,300 s,Tsuchiya,J.Ranada (UH)
,RDI,,1988-06-18,153 KHz,8 m,16 m,2 m,,JANUS CONCAVE,18 to 506 m,62,300 s,R.Lukas,"Eric Firing, J.Ranada (UH)"
,RDI,,1991-04-23,153 KHz,8 m,16 m,4 m,,JANUS CONCAVE,20 to 476 m,58,variable - see comment below,Lee,"Eric Firing, Willa Zhu"
,RDI,,1991-08-01,153 KHz,8 m,16 m,4 m,,JANUS CONCAVE,20 to 476 m,58,300 s,Bruland,"Eric Firing, P.Caldwell"
150 kHz,RDI,,1994-09-07,,8m,4m,4m,,,18 - 400 m,128,15 minutes,J.Garrett,P.Caldwell
150 kHz,RDI,,1994-10-13,,8m,4m,4m,,,18 - 400 m,128,15 minutes,"H.Freeland,R.Brown",P.Caldwell
150 kHz,RDI,,1994-11-13,,8m,4m,4m,,,18 - 400 m,128,15 minutes,"H.Freeland,R.Brown",P.Caldwell
,RDI,,1985-11-16,153 KHz,8 m,8 m,2 m,,JANUS CONCAVE,14 to 502 m,62,300 s,Jarvis/Warlop,J.Ranada (UH)
Broad Band 150,RDI,,1996-08-25,150 KHz,8 m,9.32 m,4 m,broadband,,17 to 413 m,50,300 s,David Zimmerman,Eric Firing and June Firing
,RDI,,1985-11-30,153 KHz,8 m,8 m,2 m,,JANUS CONCAVE,14 to 502 m,62,300 s,"Taylor,Crook",J.Ranada (UH)
,RDI,,1985-12-26,153 KHz,8 m,8 m,2 m,,JANUS CONCAVE,14 to 502 m,62,300 s,"Taylor,Crook",J.Ranada (UH)
NB 150,RDI,,1997-02-04,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,unconfirmed,Eric Firing and June Firing
NB 150,RDI,,1997-03-26,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,M.Cronin,Kathy Donahue/UH
1) Narrow Band 150 kHz,RDI,,1995-04-25,,4m,4m,2m,narrowband,,9 to 245m,60,120s,"N.Oakey, D.Hebert",R.Burgett
1) Narrow Band 150 kHz,RDI,,1995-06-06,,4m,4m,4m,narrowband,,13 to 210m,50,300s,"N.Oakey, D.Hebert",R.Burgett
150,RDI,,1995-03-25,153.6 kHz,varies (note below),varies (note below),4 m,,JANUS CONCAVE,13 to 523,varies (note below),varies (note below),"F.Schott, J.Reppin",M.Dengler
150,RDI,,1995-06-08,153.6 kHz,varies (note below),varies (note below),4 m,,JANUS CONCAVE,13 to 523,varies (note below),varies (note below),"D.Quadfasel ,M. Dengler (VM-ADCP)",M.Dengler
150,RDI,,1995-07-17,153.6 kHz,varies (note below),varies (note below),4 m,,JANUS CONCAVE,13 to 523,varies (note below),varies (note below),B. Zeitzschel,M.Dengler
150,RDI,,1995-08-16,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,21 to 493,60,300 s,"F. Schott, D. Kindler (ADCP)",M.Dengler
150,RDI,,1995-09-22,153.6 kHz,8 m,16 m,4 m,,JANUS CONCAVE,21 to 493,60,300 s,K. Lochte,M.Dengler
Narrowband,RDI,,1994-08-23,153.6 kHz,8 m,12 m,4 m,narrowband,JANUS CONCAVE,22 - 518 m (bin centers),64,2.5 min,Barth and Smith,Stephen D. Pierce
Narrowband,RDI,,1995-05-17,153.6 kHz,8 m,12 m,4 m,narrowband,JANUS CONCAVE,22 - 518 m (bin centers),64,2.5 min,Barth and Smith,Stephen D. Pierce
Narrowband,RDI,,1995-08-17,153.6 kHz,8 m,12 m,4 m,narrowband,JANUS CONCAVE,22 - 518 m (bin centers),64,2.5 min,Barth and Smith,Stephen D. Pierce
Narrow Band 150Khz,RDI,,1995-04-28,,8 m,16 m,4 m,narrowband,,22 to 414,50,300 s,P.Ortner,D.Wilson/AOML
Narrow Band 150Khz,RDI,,1995-07-30,,8 m,16 m,4 m,narrowband,,22 to 414,50,300 s,P.Ortner,D.Wilson/AOML
Narrowband,RDI,,1996-05-10,153.6 kHz,8 m,12 m,4 m,narrowband,JANUS CONCAVE,22 - 518 m (bin centers),64,2.5 min,Barth and Smith,Stephen D. Pierce
150 kHz narrow band,RDI,,1993-11-08,,4 m,4 m ?,2 m ?,narrowband,,9 to 405 m,100,180 s,D.Barber,Stuart Brentnall
,RDI,,1993-08-05,,8 m,16 m,2m,,,21 to 525 m,64,300 s,F. Schott,J.Fischer
150 kHz hull mounted ADCP,R.D. Instruments,,1991-04-26,,4 m (bottom track) 8 m (deep water),??,4 m,,,17 to 521 m (bin centers),50,120 sec,R.T.Pollard,
150 kHz hull mounted ADCP,R.D. Instruments,,1991-05-18,,4 m (bottom track) 8 m (deep water),??,4 m,,,17 to 521 m (bin centers),50,120 sec,H.Leach,
150 kHz hull mounted ADCP,R.D. Instruments,,1991-08-03,,4 m (bottom track) 8 m (deep water),??,4 m,,,17 to 521 m (bin centers),50,120 sec,W.J.Gould,
150 kHz hull mounted ADCP,R.D. Instruments,,1991-09-08,,4 m (bottom track) 8 m (deep water),??,4 m,,,17 to 521 m (bin centers),50,120 sec,M.A.Srokosz,
Broad Band 150,RDI,,1996-07-02,150 KHz,8 m,9.32 m,4 m,broadband,,17 to 413 m,50,300 s,A.Shephard,Eric Firing and June Firing
Broad Band 150,RDI,,1996-09-30,150 KHz,8 m,9.32 m,4 m,broadband,,17 to 413 m,50,300 s,P.Freitag,Eric Firing and June Firing
Broad Band 150,RDI,,1996-11-03,150 KHz,8 m,9.32 m,4 m,broadband,,17 to 413 m,50,300 s,unconfirmed,Eric Firing and June Firing
Broad Band 150,RDI,,1996-11-22,150 KHz,8 m,9.32 m,4 m,broadband,,17 to 413 m,50,300 s,L.Stratton,Eric Firing and June Firing
NB 150,RDI,,1997-05-07,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Mangum,June Firing/UH
NB 150,RDI,,1997-06-08,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,A.Shepard,June Firing/UH
NB 150,RDI,,1997-07-14,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,P.Freitag,June Firing/UH
NB 150,RDI,,1997-10-01,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,M.McPhaden (CA to Nuka Hiva),June Firing/UH
NB 150,RDI,,1997-11-06,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Stratton,June Firing/UH
NB 150,RDI,,1998-02-05,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,M.Ablondi,June Firing/UH
NB 150,RDI,,1998-04-18,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Mangum,June Firing/UH
NB 150,RDI,,1998-06-02,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Stratton,June Firing/UH
NB 150,RDI,,1998-07-07,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,B.Moore,June Firing/UH
NB 150,RDI,,1998-09-06,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,June Firing/UH
NB 150,RDI,,1998-10-20,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,S.Kunze,June Firing/UH
NB 150,RDI,,1998-11-18,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Stratton,June Firing/UH
NB 150,RDI,,1999-01-23,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,S.Kunze,June Firing/UH
NB 150,RDI,,1999-05-01,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,June Firing/UH
NB 150,RDI,,1999-06-30,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,B.Moore,June Firing/UH
NB 150,RDI,,1999-08-05,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,M.McCarty,June Firing/UH
150,RDI,,1991-09-02,153.6 kHz,,,,,JANUS CONCAVE,11 to 481 m,,,Jens Meincke,A.Bersch
150 narrowband,RDI,,1994-12-15,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,50,3 min,S.Rintoul,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1995-07-18,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,N.Bindoff,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1996-08-25,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,S.Rintoul,"J.Dunn,M.Rosenberg"
Vessel-mount 150 kHz Narrowband,RDI,,1993-11-06,,4 m,4 m,4 m,narrowband,JANUS CONVEX,10 to 354,87,5 min; time between pings is 0.67 sec,,"S.DiMarco, TAMU"
Vessel-mount 150 kHz Narrowband,RDI,,1994-07-26,,4 m,4 m,4 m,narrowband,JANUS CONVEX,10 to 354,87,5 min; time between pings is 0.67 sec,,"S.DiMarco, TAMU"
150 narrowband,RDI,,1996-01-20,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,unconfirmed,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1997-09-17,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,unconfirmed,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1998-02-28,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,unconfirmed,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1998-04-07,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,unconfirmed,"J.Dunn,M.Rosenberg"
150 narrowband,RDI,,1999-07-17,150 kHz,8 m (4 m during bottom tracking),8 m (32 m during bottom tracking),4 m,narrowband,JANUS CONCAVE,21 - 493 m,60,3 min,unconfirmed,"J.Dunn,M.Rosenberg"
Broadband 150,RDI,,1997-11-22,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,60 sec,F.Schwing,"Curt Collins,Navy Postgraduate School"
Narrowband 150,RDI,,1997-02-10,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,Szczechowski,Curt Collins (NPS)
Narrowband 150,RDI,,1997-06-19,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,K.Bruland,Curt Collins (NPS)
Narrowband 150,RDI,,1997-07-20,150 kHz,4 m,4 m,4 m,narrowband,,15 to 171 m,40,180 sec,unconfirmed,Curt Collins (NPS)
Narrowband 150,RDI,,1997-08-08,150 kHz,8 m,8 m,4 m,narrowband,,15 to 407 m,50,60 sec,"M.Gregg, E.Kunze",Curt Collins (NPS)
Narrowband 150,RDI,,1997-11-11,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.Noble,Curt Collins (NPS)
Narrowband 150,RDI,,1997-06-02,150 kHz,8 m,8 m,4 m,narrowband,,15 to 407 m,50,180 sec,F.Chavez,Curt Collins (NPS)
Broadband 150,RDI,,1998-04-14,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,180 sec,unconfirmed,"Curt Collins,Navy Postgraduate School"
Broadband 150,RDI,,1998-05-18,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,60 sec,F.Schwing,"Curt Collins,Navy Postgraduate School"
Broadband 150,RDI,,1998-07-10,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,180 sec,unconfirmed,"Curt Collins,Navy Postgraduate School"
Narrowband 150,RDI,,1998-01-21,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-04-18,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.Wells,Curt Collins (NPS)
Narrowband 150,RDI,,1998-07-29,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-08-17,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.Noble,Curt Collins (NPS)
Narrowband 150,RDI,,1998-09-10,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-10-14,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,G.Greene,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-10-29,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,B.Ward and M.Noble,Curt Collins (NPGS)
Narrowband 150,RDI,,1998-12-01,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,B.Prezelin and B.Ward,Curt Collins (NPGS)
Broadband 150,RDI,,1999-05-21,150 kHz,8 m,8.08 m,4 m,broadband,,16 to 408 m,50,60 sec,F.Schwing,"Curt Collins,Navy Postgraduate School"
Narrowband 150,RDI,,1999-01-26,150 kHz,8 m,4 m,4 m,narrowband,,13 to 325 m,40,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-07,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,see PI above,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-04-30,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,180 sec,C.Collins,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-08-24,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,"C.Collins, S.Ramp, H.Jones",Curt Collins (NPGS)
Narrowband 150,RDI,,1999-09-15,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,M.McGowan,Curt Collins (NPGS)
Narrowband 150,RDI,,1999-10-22,150 kHz,8 m,8 m,4 m,narrowband,,15 to 487 m,60,300 sec,C.Collins,Curt Collins (NPGS)
